numberBedroom,numberBathroom,totalFloor,area,frontWidth,inletWidth,distanceCenter,price
6,4,6,55.28,17.37,3.6,6506.87,18990699252
3,6,3,52.57,12.64,3.98,8914.68,3084946906
1,5,2,70.93,5.84,7.29,105.79,17156305406
4,1,1,95.97,16.49,4.61,149.25,9822500967
1,4,6,47.38,15.77,8.01,5315.22,3294619517
3,6,4,67.59,13.12,1.65,8251.88,13868511291
4,5,1,54.72,17.76,6.45,2102.78,24488284747
6,4,3,84.05,8.98,1.96,4462.41,15550212701
6,3,2,42.02,8.74,3.79,6535.89,14300253490
4,5,5,51.24,15.9,8.94,7438.2,25765212633
3,2,6,73.52,8.61,1.55,8579.38,11556723957
5,5,4,66.58,13.23,9.97,4367.6,14959733244
3,3,5,40.91,18.64,5.22,3022.4,25226196084
5,1,5,64.58,17.78,8.17,2796.06,2220166240
2,3,1,83.51,17.57,3.68,5945.18,4338385314
2,1,3,61.25,11.38,2.06,9463.78,5701274575
2,5,5,63.32,14.99,1.77,3067.83,11383843067
6,3,1,77.06,18.57,7.9,395.74,937779993
2,5,4,68.31,15.56,6.6,3220.81,8585073901
5,4,5,97.75,11.59,4.17,3678.43,5468581042
1,1,2,32.32,12.47,8.87,7256.9,9291005356
1,2,6,47.15,14.63,6.96,9899.28,3206328988
2,5,1,76.69,11.24,5.89,7450.6,21387059984
2,6,4,79.83,7.91,5.99,917.86,10934610517
5,3,2,76.06,18.09,6.64,3131.98,10362348731
5,2,3,30.78,19.31,8.75,5363.95,29205557352
5,2,6,41.33,19.97,2.01,4171.49,23075987686
1,4,4,61.89,18.44,4.28,7540.79,19766946629
2,6,4,42.48,11.22,4.1,3584.73,17951513701
5,6,3,60.48,5.37,8.63,7224.2,11578423470
3,4,2,51.62,4.99,2.09,6684.58,16089253290
2,2,6,80.37,3.86,8.56,6335.58,3021179048
6,4,4,91.38,9.66,1.51,5942.96,21279271770
5,3,2,84.14,9.14,8.79,3805.16,20967544460
3,5,1,62.56,7.41,2.88,7139.81,15687225699
4,6,3,87.74,6.86,8.01,6566.04,9006719675
4,5,2,57.89,6.35,4.02,2154.54,25042615314
1,6,3,31.91,4.01,1.21,4908.09,24634250965
5,4,5,72.47,3.74,4.68,9754.92,13271785595
2,4,5,33.3,8.48,1.64,8014.16,19489322608
2,6,5,89.12,18.8,1.06,3857.42,15558190584
1,5,5,88.02,9.33,7.69,9899.43,17241887197
1,2,1,47.73,6.7,5.24,6189.94,23049205472
6,5,1,43.46,9.7,7.06,845.83,5029603963
3,2,3,87.87,6.06,5.78,4971.52,14333682726
4,3,1,68.24,4.24,6.25,5344.83,16042032814
3,3,6,43.36,12.17,8.43,4270.51,27964680650
6,5,4,72.97,18.83,6.35,5144.89,25747752071
6,6,5,40.89,18.61,3.73,3734.61,25075502646
1,3,3,36.6,8.3,4.63,8129.37,9216757553
2,1,6,37.41,18.78,3.69,9025.36,28841493815
1,3,1,48.36,13.29,2.43,9761.95,1038145206
4,1,5,56.22,5.17,9.58,3547.9,5058509066
1,2,2,85.97,3.48,8.15,1891.59,5312357325
5,2,5,75.72,16.6,5.46,599.67,12987314072
1,2,4,80.09,5.77,7.92,3910.13,21193570463
5,2,1,88.19,11.39,3.86,1635.94,21028219197
6,2,6,80.46,13.31,3.89,7455.59,19468337427
6,6,3,34.01,6.27,1.78,3298.61,28518399936
1,1,1,58.2,13.79,1.89,798.8,26557374695
6,3,3,42.16,13.13,7.12,3337.49,13763144034
5,2,6,81.73,7.78,6.87,969.33,5286963573
1,1,1,62.63,11.46,1.29,350.29,28326007775
1,3,5,43.48,14.63,6.91,6713.1,13313435006
1,6,3,42.1,13.51,8.03,755.3,21573100744
2,4,5,62.04,3.96,3.69,1838.66,18246811368
6,4,5,75.27,19.55,1.35,4444.42,29494869540
1,5,4,66.2,18.58,7.22,5794.26,26844878554
5,5,6,85.34,8.41,9.08,9460.36,24398037844
6,4,3,98.86,14.42,1.36,6026.49,4485344155
5,1,1,32.95,16.2,4.26,951.49,9352476864
3,4,3,35.91,4.74,5.5,7528.48,11854629138
1,1,3,65.37,9.33,2.26,9560.1,16159371377
1,2,4,33.37,12.76,3.58,3796.65,9259908476
2,3,2,59.42,16.01,2.2,8069.28,1647221586
1,4,6,34.12,9.94,9.91,7096.25,26925520022
6,1,2,33.03,4.4,7.43,7832.98,12960804723
5,3,1,93.69,12.64,9.28,50.66,8998815241
6,4,1,65.53,17.9,4.69,9083.93,25098131157
6,4,4,93.63,8.32,2.53,244.38,16034388709
1,4,3,43.42,18.42,7.22,9015.7,4966441657
6,5,3,55.01,5.31,1.17,2659.53,23689925746
6,6,1,55.01,15.69,2.55,2366.09,10676946650
3,6,5,54.7,9.9,1.4,2153.34,10096322189
1,6,2,90.45,10.9,6.98,7365.61,15041113486
1,2,2,33.04,16.45,5.95,9472.43,14516394417
3,5,6,45.29,12.77,8.32,6812.47,17077474826
2,1,1,60.53,9.84,7.26,2934.51,2078455198
2,5,1,89.96,10.57,2.16,6641.67,24930948125
1,2,3,91.79,3.64,2.78,6525.62,14694581753
6,4,3,97.85,10.87,7.05,3052.95,2008074781
2,1,3,74.08,12.58,1.25,3927.44,13143432877
6,4,2,33.37,15.94,6.67,4817.74,17869896108
4,1,3,96.08,6.92,4.86,5292.07,9665581611
2,3,3,81.86,7.42,7.51,3384.94,15177264733
5,2,2,71.62,5.88,3.17,3805.67,13577872534
6,5,3,40.77,4.93,1.06,5858.71,18451106873
4,5,6,40.02,17.08,4.56,2678.43,16623431464
6,2,2,64.09,8.59,8.9,264.49,13757646405
3,2,4,59.08,19.29,2.36,5684.45,20408792329
1,5,1,91.7,6.27,5.11,9408.41,7675341226
2,6,3,93.27,11.91,8.23,6108.52,10991670153
5,2,6,92.86,14.91,9.68,447.4,19288757428
6,1,5,66.71,11.29,8.77,8442.38,22323356602
6,3,2,47.54,12.16,8.59,6087.9,3063227012
4,6,1,79.0,6.43,6.64,3800.74,2382666778
4,3,1,30.64,7.55,3.08,5008.68,10045441346
2,4,2,54.5,7.1,6.48,936.01,18636513127
4,6,5,46.84,13.43,5.34,1368.14,728684284
