numberBedroom,numberBathroom,totalFloor,area,frontWidth,inletWidth,distanceCenter,price
1,1,1,20.0,20.0,1.0,29964.0,1000000000.0
1,1,1,40.0,20.0,1.0,29932.0,1000001000.0
1,1,1,50.0,20.0,1.0,29923.0,1000011150.0
1,1,1,60.0,20.0,1.0,29907.0,1000200200.0
1,1,1,70.0,20.0,1.0,29860.0,1003016925.0
1,1,1,80.0,20.0,1.0,29859.0,1040021070.0
1,1,1,90.0,20.0,1.0,29845.0,1024220929.0
1,1,1,100.0,20.0,1.0,29845.0,1028731503.0
1,1,1,110.0,20.0,1.0,29832.0,1033242076.0
1,1,1,120.0,20.0,1.0,29830.0,1037752650.0
1,1,1,130.0,20.0,1.0,29826.0,1042263224.0
1,1,1,140.0,20.0,1.0,29697.0,1046773797.0
1,1,1,150.0,20.0,1.0,29671.0,1051284371.0
1,1,1,160.0,20.0,1.0,29537.0,1055794944.0
1,1,1,170.0,20.0,1.0,29528.0,1060305518.0
1,1,1,180.0,20.0,1.0,29490.0,1064816091.0
1,1,1,190.0,20.0,1.0,29465.0,1069326665.0
1,1,1,200.0,20.0,1.0,29330.0,1073837239.0
1,1,1,210.0,20.0,1.0,29269.0,1078347812.0
1,1,1,220.0,20.0,1.0,29256.0,1082858386.0
1,1,1,230.0,20.0,1.0,29224.0,1087368959.0
1,1,1,240.0,20.0,1.0,29198.0,1091879533.0
1,1,1,250.0,20.0,1.0,29099.0,1096390106.0
1,1,1,260.0,20.0,1.0,29026.0,1100900680.0
1,1,1,270.0,20.0,1.0,29024.0,1105411254.0
1,1,1,280.0,20.0,1.0,29001.0,1109921827.0
1,1,1,290.0,20.0,1.0,28950.0,1114432401.0
1,1,1,300.0,20.0,1.0,28930.0,1118942974.0
1,1,1,310.0,20.0,1.0,28916.0,1123453548.0
1,1,1,320.0,20.0,1.0,28905.0,1127964121.0
1,1,1,330.0,20.0,1.0,28897.0,1132474695.0
1,1,1,340.0,20.0,1.0,28827.0,1136985269.0
1,1,1,350.0,20.0,1.0,28750.0,1141495842.0
1,1,1,360.0,20.0,1.0,28713.0,1146006416.0
1,1,1,370.0,20.0,1.0,28646.0,1150516989.0
1,1,1,380.0,20.0,1.0,28499.0,1155027563.0
1,1,1,390.0,20.0,1.0,28497.0,1159538136.0
1,1,1,400.0,20.0,1.0,28489.0,1164048710.0
1,1,1,410.0,20.0,1.0,28455.0,1168559284.0
1,1,1,420.0,20.0,1.0,28440.0,1173069857.0
1,1,1,430.0,20.0,1.0,28433.0,1177580431.0
1,1,1,440.0,20.0,1.0,28421.0,1182091004.0
1,1,1,450.0,20.0,1.0,28418.0,1186601578.0
1,1,1,460.0,20.0,1.0,28331.0,1191112151.0
1,1,1,470.0,20.0,1.0,28313.0,1195622725.0
1,1,1,480.0,20.0,1.0,28309.0,1200133299.0
1,1,1,490.0,20.0,1.0,28296.0,1204643872.0
1,1,1,500.0,20.0,1.0,28270.0,1209154446.0
1,1,1,510.0,20.0,1.0,28259.0,1213665019.0
1,1,1,520.0,20.0,1.0,28202.0,1218175593.0
1,1,1,530.0,20.0,1.0,28164.0,1222686166.0
1,1,1,540.0,20.0,1.0,28156.0,1227196740.0
1,1,1,550.0,20.0,1.0,28013.0,1231707314.0
1,1,1,560.0,20.0,1.0,27994.0,1236217887.0
1,1,1,570.0,19.0,1.0,27969.0,1240728461.0
1,1,1,580.0,19.0,1.0,27959.0,1245239034.0
1,1,1,590.0,19.0,1.0,27958.0,1249749608.0
1,1,1,600.0,19.0,1.0,27924.0,1254260181.0
1,1,1,610.0,19.0,1.0,27901.0,1258770755.0
1,1,1,620.0,19.0,1.0,27844.0,1263281329.0
1,1,1,630.0,19.0,1.0,27836.0,1267791902.0
1,1,1,640.0,19.0,1.0,27831.0,1272302476.0
1,1,1,650.0,19.0,1.0,27778.0,1276813049.0
1,1,1,660.0,19.0,1.0,27724.0,1281323623.0
1,1,1,670.0,19.0,1.0,27673.0,1285834196.0
1,1,1,680.0,19.0,1.0,27668.0,1290344770.0
1,1,1,690.0,19.0,1.0,27630.0,1294855344.0
1,1,1,700.0,19.0,1.0,27619.0,1299365917.0
1,1,1,710.0,19.0,1.0,27609.0,1303876491.0
1,1,1,720.0,19.0,1.0,27564.0,1308387064.0
1,1,1,730.0,19.0,1.0,27551.0,1312897638.0
1,1,1,740.0,19.0,1.0,27504.0,1317408211.0
1,1,1,750.0,19.0,1.0,27503.0,1321918785.0
1,1,1,760.0,19.0,1.0,27450.0,1326429359.0
1,1,1,770.0,19.0,1.0,27391.0,1330939932.0
1,1,1,780.0,19.0,1.0,27388.0,1335450506.0
1,1,1,790.0,19.0,1.0,27339.0,1339961079.0
1,1,1,800.0,19.0,1.0,27329.0,1344471653.0
1,1,1,810.0,19.0,1.0,27299.0,1348982226.0
1,1,1,820.0,19.0,1.0,27285.0,1353492800.0
1,1,1,830.0,19.0,1.0,27275.0,1358003374.0
1,1,1,840.0,19.0,1.0,27259.0,1362513947.0
1,1,1,850.0,19.0,1.0,27209.0,1367024521.0
1,1,1,860.0,19.0,1.0,27161.0,1371535094.0
1,1,1,870.0,19.0,1.0,27125.0,1376045668.0
1,1,1,880.0,19.0,1.0,27120.0,1380556241.0
1,1,1,890.0,19.0,1.0,27060.0,1385066815.0
1,1,1,900.0,19.0,1.0,27053.0,1389577389.0
1,1,1,910.0,19.0,1.0,26993.0,1394087962.0
1,1,1,920.0,19.0,1.0,26970.0,1398598536.0
1,1,1,930.0,19.0,1.0,26916.0,1403109109.0
1,1,1,940.0,19.0,1.0,26897.0,1407619683.0
1,1,1,950.0,19.0,1.0,26892.0,1412130256.0
1,1,1,960.0,19.0,1.0,26884.0,1416640830.0
1,1,1,970.0,19.0,1.0,26879.0,1421151404.0
1,1,1,980.0,19.0,1.0,26836.0,1425661977.0
1,1,1,990.0,19.0,1.0,26821.0,1430172551.0
1,1,1,1000.0,19.0,1.0,26762.0,1434683124.0
1,1,1,1010.0,19.0,1.0,26743.0,1439193698.0
1,1,1,1020.0,19.0,1.0,26717.0,1443704271.0
1,1,1,1030.0,19.0,2.0,26665.0,1448214845.0
1,1,1,1040.0,19.0,2.0,26651.0,1452725419.0
1,1,1,1050.0,19.0,2.0,26598.0,1457235992.0
1,1,1,1060.0,19.0,2.0,26591.0,1461746566.0
1,1,1,1070.0,19.0,2.0,26575.0,1466257139.0
1,1,1,1080.0,19.0,2.0,26495.0,1470767713.0
1,1,1,1090.0,19.0,2.0,26414.0,1475278286.0
1,1,1,1100.0,19.0,2.0,26381.0,1479788860.0
1,1,1,1110.0,19.0,2.0,26341.0,1484299434.0
1,1,1,1120.0,18.0,2.0,26292.0,1488810007.0
1,1,1,1130.0,18.0,2.0,26180.0,1493320581.0
1,1,1,1140.0,18.0,2.0,26177.0,1497831154.0
2,1,1,1160.0,18.0,2.0,26164.0,1506852301.0
