numberBedroom,numberBathroom,totalFloor,area,frontWidth,inletWidth,distanceCenter,price
1,1,1,20,20,1,29964,1000000000
1,1,1,30,20,1,29947,1000000100
1,1,1,40,20,1,29932,1000001000
1,1,1,50,20,1,29923,1000011150
1,1,1,60,20,1,29907,1000200200
1,1,1,70,20,1,29860,1003016925
1,1,1,80,20,1,29859,1040021070
1,1,1,90,20,1,29845,1024220929
1,1,1,100,20,1,29845,1028731503
1,1,1,110,20,1,29832,1033242076
1,1,1,120,20,1,29830,1037752650
1,1,1,130,20,1,29826,1042263224
1,1,1,140,20,1,29697,1046773797
1,1,1,150,20,1,29671,1051284371
1,1,1,160,20,1,29537,1055794944
1,1,1,170,20,1,29528,1060305518
1,1,1,180,20,1,29490,1064816091
1,1,1,190,20,1,29465,1069326665
1,1,1,200,20,1,29330,1073837239
1,1,1,210,20,1,29269,1078347812
1,1,1,220,20,1,29256,1082858386
1,1,1,230,20,1,29224,1087368959
1,1,1,240,20,1,29198,1091879533
1,1,1,250,20,1,29099,1096390106
1,1,1,260,20,1,29026,1100900680
1,1,1,270,20,1,29024,1105411254
1,1,1,280,20,1,29001,1109921827
1,1,1,290,20,1,28950,1114432401
1,1,1,300,20,1,28930,1118942974
1,1,1,310,20,1,28916,1123453548
1,1,1,320,20,1,28905,1127964121
1,1,1,330,20,1,28897,1132474695
1,1,1,340,20,1,28827,1136985269
1,1,1,350,20,1,28750,1141495842
1,1,1,360,20,1,28713,1146006416
1,1,1,370,20,1,28646,1150516989
1,1,1,380,20,1,28499,1155027563
1,1,1,390,20,1,28497,1159538136
1,1,1,400,20,1,28489,1164048710
1,1,1,410,20,1,28455,1168559284
1,1,1,420,20,1,28440,1173069857
1,1,1,430,20,1,28433,1177580431
1,1,1,440,20,1,28421,1182091004
1,1,1,450,20,1,28418,1186601578
1,1,1,460,20,1,28331,1191112151
1,1,1,470,20,1,28313,1195622725
1,1,1,480,20,1,28309,1200133299
1,1,1,490,20,1,28296,1204643872
1,1,1,500,20,1,28270,1209154446
1,1,1,510,20,1,28259,1213665019
1,1,1,520,20,1,28202,1218175593
1,1,1,530,20,1,28164,1222686166
1,1,1,540,20,1,28156,1227196740
1,1,1,550,20,1,28013,1231707314
1,1,1,560,20,1,27994,1236217887
1,1,1,570,19,1,27969,1240728461
1,1,1,580,19,1,27959,1245239034
1,1,1,590,19,1,27958,1249749608
1,1,1,600,19,1,27924,1254260181
1,1,1,610,19,1,27901,1258770755
1,1,1,620,19,1,27844,1263281329
1,1,1,630,19,1,27836,1267791902
1,1,1,640,19,1,27831,1272302476
1,1,1,650,19,1,27778,1276813049
1,1,1,660,19,1,27724,1281323623
1,1,1,670,19,1,27673,1285834196
1,1,1,680,19,1,27668,1290344770
1,1,1,690,19,1,27630,1294855344
1,1,1,700,19,1,27619,1299365917
1,1,1,710,19,1,27609,1303876491
1,1,1,720,19,1,27564,1308387064
1,1,1,730,19,1,27551,1312897638
1,1,1,740,19,1,27504,1317408211
1,1,1,750,19,1,27503,1321918785
1,1,1,760,19,1,27450,1326429359
1,1,1,770,19,1,27391,1330939932
1,1,1,780,19,1,27388,1335450506
1,1,1,790,19,1,27339,1339961079
1,1,1,800,19,1,27329,1344471653
1,1,1,810,19,1,27299,1348982226
1,1,1,820,19,1,27285,1353492800
1,1,1,830,19,1,27275,1358003374
1,1,1,840,19,1,27259,1362513947
1,1,1,850,19,1,27209,1367024521
1,1,1,860,19,1,27161,1371535094
1,1,1,870,19,1,27125,1376045668
1,1,1,880,19,1,27120,1380556241
1,1,1,890,19,1,27060,1385066815
1,1,1,900,19,1,27053,1389577389
1,1,1,910,19,1,26993,1394087962
1,1,1,920,19,1,26970,1398598536
1,1,1,930,19,1,26916,1403109109
1,1,1,940,19,1,26897,1407619683
1,1,1,950,19,1,26892,1412130256
1,1,1,960,19,1,26884,1416640830
1,1,1,970,19,1,26879,1421151404
1,1,1,980,19,1,26836,1425661977
1,1,1,990,19,1,26821,1430172551
1,1,1,1000,19,1,26762,1434683124
1,1,1,1010,19,1,26743,1439193698
1,1,1,1020,19,1,26717,1443704271
1,1,1,1030,19,2,26665,1448214845
1,1,1,1040,19,2,26651,1452725419
1,1,1,1050,19,2,26598,1457235992
1,1,1,1060,19,2,26591,1461746566
1,1,1,1070,19,2,26575,1466257139
1,1,1,1080,19,2,26495,1470767713
1,1,1,1090,19,2,26414,1475278286
1,1,1,1100,19,2,26381,1479788860
1,1,1,1110,19,2,26341,1484299434
1,1,1,1120,18,2,26292,1488810007
1,1,1,1130,18,2,26180,1493320581
1,1,1,1140,18,2,26177,1497831154
1,1,1,1150,18,2,26172,1502341728
2,1,1,1160,18,2,26164,1506852301
2,1,1,1180,18,2,26154,1515873449
2,1,1,1220,18,2,26048,1533915743
2,1,1,1310,18,2,25895,1574510905
2,1,1,1320,18,2,25831,1579021479
2,1,1,1330,18,2,25831,1583532052
2,1,1,1360,18,2,25755,1597063773
2,1,1,1390,18,2,25628,1610595494
2,1,1,1590,18,2,25045,1700806965
2,1,1,1750,18,2,24571,1772976142
2,1,1,1840,18,2,24477,1813571304
2,1,1,1950,18,2,24194,1863187614
2,1,1,1970,18,2,24048,1872208761
2,2,1,2160,18,2,23347,1957909659
2,2,1,2200,18,2,23297,1975951953
3,2,1,2280,18,2,23067,2012036541
3,2,1,2360,18,2,22841,2048121130
3,2,1,2420,18,2,22708,2075184571
3,2,1,2430,18,2,22667,2079695145
3,2,1,2440,18,2,22637,2084205719
3,2,1,2450,18,2,22554,2088716292
3,2,1,2460,18,2,22554,2093226866
3,2,1,2660,18,2,21928,2183438337
3,2,1,2670,18,2,21872,2187948911
3,2,1,2680,18,2,21813,2192459484
3,2,1,2690,18,2,21755,2196970058
3,2,1,2720,18,2,21614,2210501779
3,2,1,2800,18,2,21349,2246586367
3,2,1,2850,18,2,21227,2269139235
3,2,1,2950,18,2,20841,2314244971
3,2,1,3110,18,2,20170,2386414148
3,3,1,3170,18,2,20077,2413477589
4,3,1,3260,18,2,19780,2454072751
4,3,1,3370,18,2,19539,2503689061
4,3,1,3390,18,2,19472,2512710208
4,3,1,3570,18,2,19012,2593900532
4,3,1,3590,18,2,18980,2602921679
4,3,1,3690,18,2,18701,2648027415
4,3,1,3790,18,2,18456,2693133151
4,3,1,3880,18,2,18181,2733728313
4,3,1,3920,18,2,17948,2751770607
4,4,1,3990,18,2,17793,2783344622
4,4,1,4000,18,2,17792,2787855196
4,4,1,4120,18,2,17113,2841982079
4,4,1,4150,18,2,17014,2855513799
5,4,1,4330,18,2,16441,2936704124
5,4,1,4390,18,2,16235,2963767565
5,4,1,4500,18,2,15908,3013383874
5,4,1,4520,18,2,15818,3022405021
5,4,1,4550,18,2,15784,3035936742
5,4,1,4590,18,2,15661,3053979036
5,4,1,4600,18,2,15653,3058489610
5,4,1,4650,18,2,15467,3081042478
5,4,1,4700,18,2,15386,3103595346
5,4,1,4710,18,2,15356,3108105919
5,4,1,4720,18,2,15269,3112616493
5,4,1,4770,18,2,15083,3135169361
5,5,1,4920,18,2,14567,3202827964
5,5,1,4970,18,2,14415,3225380832
5,5,1,4980,17,2,14404,3229891406
5,5,1,5010,17,2,14265,3243423126
6,5,1,5190,17,2,13528,3324613451
6,5,1,5200,17,2,13505,3329124024
6,5,1,5340,17,2,12938,3392272054
6,5,1,5410,17,2,12759,3423846069
6,5,1,5490,17,2,12549,3459930658
6,5,1,5550,17,2,12382,3486994099
6,5,1,5560,17,2,12372,3491504673
6,5,1,5580,17,2,12358,3500525820
6,5,1,5590,17,2,12353,3505036394
6,6,1,5640,17,2,12233,3527589261
6,6,1,5660,17,2,12189,3536610409
6,6,1,5810,17,2,11710,3604269012
6,6,1,5920,17,2,11410,3653885321
6,6,1,5970,17,2,11283,3676438189
6,6,1,6100,17,2,10928,3735075646
6,6,1,6130,17,2,10835,3748607366
7,6,1,6350,17,2,10348,3847839985
7,6,1,6390,17,2,10195,3865882279
7,7,1,6520,17,3,9854,3924519736
7,7,1,6550,17,3,9763,3938051456
7,7,1,6630,17,3,9561,3974136045
7,7,1,6640,17,3,9541,3978646619
7,7,1,6700,17,3,9319,4005710060
7,7,1,6760,17,3,9195,4032773501
7,7,1,6820,17,3,9051,4059836943
7,7,1,6890,17,3,8946,4091410958
7,7,1,7060,17,3,8373,4168090709
7,7,1,7160,17,3,7959,4213196444
8,7,1,7200,17,3,7848,4231238739
8,7,1,7210,17,3,7794,4235749312
8,7,1,7260,17,3,7610,4258302180
8,8,1,7390,17,3,7350,4316939636
8,8,1,7440,17,3,7268,4339492504
8,8,1,7550,17,3,6655,4389108814
8,8,1,7760,17,3,6054,4483830859
8,8,1,7770,17,3,6053,4488341432
8,8,1,7870,17,3,5872,4533447168
8,8,1,7960,17,3,5589,4574042330
8,8,1,7970,17,3,5584,4578552904
8,8,1,8040,17,3,5447,4610126919
9,8,1,8150,17,3,5191,4659743228
9,8,1,8190,17,3,5035,4677785522
9,9,1,8260,16,3,4957,4709359537
